,index,Features,Scores
116,116,118,0.05196899854751709
181,181,183,0.051824674662781046
60,60,62,0.04942188479503992
195,195,197,0.04416714304438535
96,96,98,0.04388115851328271
136,136,138,0.04037997989962389
2,2,4,0.03746737615505094
152,152,154,0.035735308999144226
168,168,170,0.03487136865738193
1,1,3,0.03099434658079914
151,151,153,0.03094053261196526
76,76,78,0.030371684278927936
135,135,137,0.025520155011519875
182,182,184,0.025407152737821473
40,40,42,0.025294534566046023
196,196,198,0.025075754681650304
21,21,23,0.021164691255813092
22,22,24,0.020512824832676246
170,170,172,0.020016586213101217
154,154,156,0.01779623119734881
194,194,196,0.016967502416001902
184,184,186,0.015779157404819822
39,39,41,0.01466095535018336
115,115,117,0.0126505978737235
4,4,6,0.012232799540983573
38,38,40,0.012073801325592097
61,61,63,0.012019841149533618
198,198,200,0.011480262941329707
95,95,97,0.010946554124264249
183,183,185,0.010543946130067865
59,59,61,0.010222397958718417
137,137,139,0.008879541180537454
31,31,33,0.008752594175965252
169,169,171,0.00865524543820813
153,153,155,0.00841784225107028
180,180,182,0.008307041791035424
138,138,140,0.008195669579966458
3,3,5,0.007975992027038551
134,134,136,0.007690198864127576
145,145,147,0.00689933746350168
197,197,199,0.006590768456952228
167,167,169,0.006404411868670448
23,23,25,0.006397530822780055
117,117,119,0.00633181012827503
118,118,120,0.005799618728925747
98,98,100,0.005493267910200933
24,24,26,0.005237407739653543
77,77,79,0.004730851373111872
78,78,80,0.004370464643821537
20,20,22,0.004243697281764623
94,94,96,0.004175641274424585
109,109,111,0.0033345672170981572
11,11,13,0.0029812734062534484
62,62,64,0.002927214897049047
33,33,35,0.0028397460139041424
97,97,99,0.0027628408300977366
128,128,130,0.002738458487208914
35,35,37,0.0026366593886678097
42,42,44,0.0025168476641889838
146,146,148,0.0023400515571258334
15,15,17,0.0022710338009123265
16,16,18,0.002063262291354265
162,162,164,0.0018781544631186514
158,158,160,0.0016477836474610647
75,75,77,0.0016383376341450374
41,41,43,0.0014683225567343723
205,205,207,0.001226803181533734
202,202,204,0.0011300661525664106
28,28,30,0.0010602417708428385
34,34,36,0.0009474653802455685
148,148,150,0.0008310994304937116
17,17,19,0.0008135066436255013
189,189,191,0.0007625972193777186
142,142,144,0.00074364843463012
5,5,7,0.0007172595606559262
29,29,31,0.0007095970229574982
174,174,176,0.0006872362949748244
14,14,16,0.0006361469192201291
131,131,133,0.0006208386806331324
74,74,76,0.0005883389131405338
55,55,57,0.0005699746310139176
191,191,193,0.0005441883947857436
110,110,112,0.000542639194875709
32,32,34,0.0005207061767483731
0,0,2,0.0004909299704466037
166,166,168,0.0004597256910942145
108,108,110,0.0004183993052938501
125,125,127,0.0003899263340123963
79,79,81,0.00037515093574813863
129,129,131,0.00037107833836437146
130,130,132,0.0003704676120456182
53,53,55,0.00035101804940260926
150,150,152,0.00035009012073784014
185,185,187,0.0003427415973332063
164,164,166,0.00034003239344172146
160,160,162,0.00033061588938415544
155,155,157,0.00030627349669827184
30,30,32,0.0003021098252617804
12,12,14,0.00027578500821343207
171,171,173,0.00027081162272030407
88,88,90,0.00026726326827548034
114,114,116,0.0002622487638025901
199,199,201,0.00024040415437624198
144,144,146,0.00023820918957644525
104,104,106,0.00022968964079918882
149,149,151,0.000228972601750631
175,175,177,0.00021629137086071295
147,147,149,0.00020870097658677957
188,188,190,0.0002058458550691043
102,102,104,0.0002015798247697163
107,107,109,0.00019280901632162838
91,91,93,0.00018981163830885834
161,161,163,0.0001819722196372822
37,37,39,0.0001789249520961724
9,9,11,0.00017527194436451127
111,111,113,0.00017007062103911348
63,63,65,0.00016300861510735342
124,124,126,0.0001501087504296683
200,200,202,0.00014742624228409484
186,186,188,0.00014691991931048952
105,105,107,0.00014664222119603121
159,159,161,0.00014321789091543526
206,206,208,0.0001361665514504124
119,119,121,0.00013423817233513093
203,203,205,0.00013157760908421388
13,13,15,0.0001306628116638013
133,133,135,0.00013030924500945988
178,178,180,0.0001270421423318672
103,103,105,0.00012606969902291047
47,47,49,0.00012099310024648292
123,123,125,0.00011565651995848189
19,19,21,0.00011533475645531263
106,106,108,0.00011019746004607421
52,52,54,0.0001036844525239176
190,190,192,9.860120857478945e-05
58,58,60,9.718594547063617e-05
139,139,141,9.69341100796223e-05
7,7,9,9.615907153337155e-05
43,43,45,9.54584298284751e-05
25,25,27,9.341817547667223e-05
72,72,74,9.093275772299356e-05
126,126,128,8.830903610783493e-05
69,69,71,8.558066658895697e-05
49,49,51,8.474832996679213e-05
48,48,50,7.98884597276209e-05
10,10,12,7.831777279644843e-05
100,100,102,7.743013835220543e-05
127,127,129,7.35973877634569e-05
85,85,87,7.002744034933517e-05
80,80,82,6.44152359291733e-05
86,86,88,6.228039951738229e-05
210,210,212,6.076296838758221e-05
54,54,56,5.695674958814961e-05
44,44,46,5.5042574392862896e-05
90,90,92,5.470034591862762e-05
99,99,101,5.223236591001917e-05
179,179,181,5.1761277672567944e-05
26,26,28,5.061591402152794e-05
51,51,53,4.961710090936509e-05
132,132,134,4.917121588225488e-05
208,208,210,4.783732823747413e-05
83,83,85,4.7743733376004944e-05
176,176,178,4.6355843969904534e-05
157,157,159,4.513184172038275e-05
172,172,174,4.475622457593493e-05
140,140,142,4.3623441646302434e-05
192,192,194,4.3259376666763305e-05
36,36,38,4.276262044920764e-05
71,71,73,4.2461252174906295e-05
141,141,143,4.06239857919441e-05
18,18,20,3.846653819348282e-05
64,64,66,3.4529017426117326e-05
87,87,89,2.799310575599349e-05
68,68,70,2.7885788488765797e-05
207,207,209,2.583119886542531e-05
84,84,86,2.4596583449183643e-05
81,81,83,2.3900874703758607e-05
156,156,158,2.35793461470516e-05
122,122,124,2.1747845884027804e-05
67,67,69,2.0525391516907203e-05
6,6,8,2.0442208153753482e-05
209,209,211,1.926346727595488e-05
120,120,122,1.8671661239130075e-05
173,173,175,1.8610706276966835e-05
27,27,29,1.797934839286136e-05
57,57,59,1.750213721363269e-05
177,177,179,1.6944961516771953e-05
89,89,91,1.534453129771438e-05
56,56,58,1.4334455133697856e-05
187,187,189,1.3038302633463318e-05
73,73,75,1.2960501344785957e-05
211,211,213,1.2536312388465632e-05
70,70,72,1.0917856201524536e-05
93,93,95,1.0416634835039885e-05
113,113,115,4.757796616704291e-06
