,index,Features,Scores
212,212,213,0.04819852855247291
195,195,196,0.04522308730937657
233,233,234,0.04298944002934705
4,4,5,0.03722627068484387
6,6,7,0.033913652997027345
191,191,192,0.033894752607330624
2,2,3,0.03191882403428833
149,149,150,0.03133332405028433
214,214,215,0.029262381430764157
215,215,216,0.02622684724490088
192,192,193,0.025910951444143914
172,172,173,0.022269322339047114
174,174,175,0.02036858955963251
90,90,91,0.01991823014306061
151,151,152,0.01961915642572602
216,216,217,0.019307556265229946
170,170,171,0.019145310191716475
213,213,214,0.017696289189761245
24,24,25,0.01745892179463958
235,235,236,0.017248555453303473
193,193,194,0.017244302230902533
171,171,172,0.01682356899934537
26,26,27,0.01648208356256511
194,194,195,0.015104405458731584
18,18,19,0.01400522865700753
237,237,238,0.01384689050193001
234,234,235,0.013620994395648648
23,23,24,0.013223361303848684
129,129,130,0.012856423098512187
131,131,132,0.01252271996494093
65,65,66,0.012506579675395913
230,230,231,0.010910123237197953
19,19,20,0.010110011222026663
130,130,131,0.009755226493310142
249,249,250,0.009668244175561879
89,89,90,0.00924476613320037
152,152,153,0.009197547521835513
3,3,4,0.008712365318886497
132,132,133,0.008374270625228114
25,25,26,0.008263206992386292
150,150,151,0.007847094511958416
125,125,126,0.007649900034591527
5,5,6,0.007485356814776244
173,173,174,0.0074133720228881025
236,236,237,0.00718715642397659
87,87,88,0.00701979887514452
27,27,28,0.006820585455804527
128,128,129,0.0067291336157754905
153,153,154,0.0066722935320502755
229,229,230,0.006184888620240467
60,60,61,0.005798683133029612
86,86,87,0.005083582023039498
109,109,110,0.004992412876226571
108,108,109,0.004791422508463699
228,228,229,0.004594224719808586
68,68,69,0.004564007472300777
45,45,46,0.004523544350672289
111,111,112,0.004466886382726347
69,69,70,0.0044024955517337995
208,208,209,0.0043778807298573
209,209,210,0.004301740658419721
144,144,145,0.0038799531591344762
110,110,111,0.003786190797288852
47,47,48,0.003736728609095539
0,0,1,0.0033371618486401564
20,20,21,0.0032545153831982335
133,133,134,0.002955420417007736
112,112,113,0.0028645191318370125
66,66,67,0.002770345647041902
88,88,89,0.0027540997901793264
107,107,108,0.00271175087936696
251,251,252,0.0024498645400778682
207,207,208,0.00244967133970269
48,48,49,0.0024484064614111803
238,238,239,0.0023835677959368087
154,154,155,0.0022167005659815206
186,186,187,0.0022129233508646376
28,28,29,0.002160156527108934
165,165,166,0.0020564813195820767
250,250,251,0.0020506854894612784
175,175,176,0.0020235073892066638
7,7,8,0.0019054946615275569
70,70,71,0.0016349428546004747
46,46,47,0.0015543170799161958
49,49,50,0.0014976429895658698
188,188,189,0.0009994849582815547
67,67,68,0.0008668145448987353
82,82,83,0.0007968626243388182
196,196,197,0.0007560835318560958
44,44,45,0.0007318932761808778
167,167,168,0.000726864440689014
91,91,92,0.0005019503024340823
166,166,167,0.0004894767717676598
145,145,146,0.00043819537149684365
217,217,218,0.0004019581388367093
147,147,148,0.0003674234000707156
61,61,62,0.000356816599139691
146,146,147,0.00031014070041937737
40,40,41,0.00025439046578140613
81,81,82,0.0002539238608135758
10,10,11,0.00023337046572643018
31,31,32,0.00021838105914870625
181,181,182,0.00021666569842610086
39,39,40,0.00021186831364736523
124,124,125,0.0002070881379443954
62,62,63,0.0001619135910806465
123,123,124,0.00012681756495442777
42,42,43,0.00010991993375463621
189,189,190,0.0001079862481914322
94,94,95,0.00010238626825352212
157,157,158,9.923349982596297e-05
241,241,242,9.776768915975544e-05
41,41,42,9.608840170850155e-05
83,83,84,9.477458276568178e-05
126,126,127,9.343703621488017e-05
57,57,58,8.606453747781996e-05
205,205,206,8.596041024226012e-05
103,103,104,8.53192060740109e-05
102,102,103,8.491028208279882e-05
139,139,140,8.418501131966762e-05
52,52,53,8.355987775030422e-05
104,104,105,8.273418401756374e-05
33,33,34,8.07267900062844e-05
116,116,117,7.930360497703602e-05
142,142,143,6.717095639687074e-05
252,252,253,6.659682343360395e-05
187,187,188,6.349723543938414e-05
100,100,101,6.213439018040079e-05
253,253,254,6.158294183522633e-05
8,8,9,6.0709872491380994e-05
199,199,200,5.699283135573821e-05
210,210,211,5.592649207757075e-05
140,140,141,5.584092080089418e-05
204,204,205,5.561372967544518e-05
95,95,96,5.494904839444543e-05
99,99,100,5.322434220263123e-05
180,180,181,5.2927071864099026e-05
35,35,36,5.065842577355191e-05
225,225,226,5.057667165894642e-05
141,141,142,4.9544220240228885e-05
63,63,64,4.90084596178382e-05
76,76,77,4.85516804491599e-05
21,21,22,4.851216465896848e-05
155,155,156,4.8195297690652506e-05
211,211,212,4.6407375006149605e-05
198,198,199,4.635735960432767e-05
36,36,37,4.583591902391638e-05
84,84,85,4.582523187836172e-05
13,13,14,4.581768466753215e-05
178,178,179,4.51489090232046e-05
232,232,233,4.5045614549915114e-05
222,222,223,4.3789320631065335e-05
239,239,240,4.31841349127573e-05
115,115,116,3.918224475616856e-05
12,12,13,3.91817809375986e-05
9,9,10,3.7451912346191154e-05
