iter	Passed	Remaining
0	160	47926
1	172	25773
2	183	18135
3	193	14288
4	217	12826
5	227	11141
6	237	9941
7	246	9003
8	256	8295
9	265	7701
10	275	7249
11	286	6876
12	296	6549
13	307	6276
14	317	6031
15	326	5800
16	336	5604
17	346	5432
18	356	5267
19	365	5119
20	374	4976
21	385	4865
22	396	4773
23	407	4689
24	417	4591
25	427	4500
26	436	4414
27	447	4342
28	457	4271
29	468	4212
30	482	4185
31	495	4150
32	510	4127
33	522	4084
34	535	4057
35	547	4013
36	559	3976
37	573	3954
38	585	3915
39	598	3892
40	613	3877
41	625	3844
42	638	3817
43	649	3778
44	665	3768
45	678	3746
46	689	3710
47	700	3679
48	714	3658
49	730	3653
50	743	3628
51	753	3593
52	765	3566
53	776	3535
54	786	3502
55	798	3477
56	809	3452
57	823	3435
58	834	3410
59	844	3378
60	857	3359
61	870	3342
62	883	3325
63	897	3307
64	913	3302
65	932	3304
66	944	3284
67	955	3261
68	969	3245
69	986	3240
70	1001	3230
71	1015	3214
72	1027	3194
73	1040	3176
74	1052	3156
75	1062	3132
76	1073	3109
77	1085	3090
78	1098	3072
79	1110	3052
80	1120	3030
81	1132	3010
82	1148	3001
83	1162	2989
84	1174	2971
85	1187	2954
86	1198	2934
87	1209	2914
88	1220	2894
89	1232	2874
90	1241	2851
91	1252	2832
92	1264	2814
93	1274	2792
94	1284	2772
95	1295	2752
96	1306	2734
97	1320	2720
98	1329	2700
99	1338	2677
100	1349	2658
101	1360	2640
102	1369	2619
103	1381	2602
104	1391	2583
105	1402	2567
106	1420	2563
107	1432	2547
108	1445	2532
109	1455	2514
110	1467	2498
111	1476	2479
112	1488	2462
113	1498	2444
114	1508	2426
115	1518	2408
116	1528	2391
117	1538	2373
118	1549	2356
119	1560	2340
120	1572	2325
121	1583	2310
122	1598	2300
123	1620	2300
124	1633	2287
125	1647	2275
126	1660	2262
127	1673	2248
128	1685	2234
129	1695	2216
130	1705	2200
131	1716	2184
132	1726	2167
133	1736	2150
134	1745	2132
135	1754	2115
136	1764	2098
137	1773	2081
138	1783	2065
139	1793	2049
140	1804	2034
141	1814	2019
142	1823	2002
143	1832	1985
144	1843	1970
145	1853	1955
146	1864	1940
147	1874	1924
148	1884	1909
149	1895	1895
150	1904	1879
151	1917	1866
152	1927	1852
153	1937	1837
154	1948	1822
155	1958	1807
156	1967	1791
157	1976	1776
158	1985	1760
159	1994	1745
160	2002	1729
161	2011	1713
162	2019	1697
163	2028	1682
164	2037	1667
165	2047	1652
166	2056	1637
167	2065	1622
168	2074	1608
169	2083	1593
170	2093	1579
171	2103	1565
172	2112	1551
173	2122	1537
174	2131	1522
175	2140	1507
176	2149	1493
177	2157	1478
178	2166	1464
179	2175	1450
180	2184	1436
181	2193	1422
182	2202	1408
183	2212	1394
184	2222	1381
185	2230	1367
186	2239	1353
187	2247	1338
188	2256	1325
189	2266	1312
190	2276	1299
191	2285	1285
192	2294	1272
193	2303	1258
194	2313	1245
195	2321	1232
196	2331	1218
197	2340	1205
198	2349	1192
199	2358	1179
200	2367	1166
201	2378	1153
202	2387	1140
203	2397	1128
204	2406	1115
205	2416	1102
206	2426	1090
207	2435	1077
208	2444	1064
209	2453	1051
210	2464	1039
211	2475	1027
212	2486	1015
213	2495	1002
214	2505	990
215	2514	977
216	2525	966
217	2535	953
218	2545	941
219	2555	929
220	2565	916
221	2575	904
222	2585	892
223	2595	880
224	2605	868
225	2615	856
226	2626	844
227	2635	832
228	2646	820
229	2655	808
230	2666	796
231	2676	784
232	2686	772
233	2697	760
234	2706	748
235	2716	736
236	2728	725
237	2739	713
238	2749	701
239	2759	689
240	2769	678
241	2780	666
242	2791	654
243	2800	642
244	2811	631
245	2823	619
246	2833	608
247	2843	596
248	2855	584
249	2865	573
250	2875	561
251	2885	549
252	2894	537
253	2908	526
254	2918	515
255	2929	503
256	2939	491
257	2949	480
258	2959	468
259	2970	456
260	2979	445
261	2989	433
262	3000	422
263	3011	410
264	3022	399
265	3032	387
266	3043	376
267	3054	364
268	3065	353
269	3075	341
270	3101	331
271	3113	320
272	3136	310
273	3155	299
274	3173	288
275	3185	276
276	3200	265
277	3210	254
278	3221	242
279	3232	230
280	3242	219
281	3252	207
282	3262	195
283	3273	184
284	3282	172
285	3292	161
286	3303	149
287	3314	138
288	3324	126
289	3335	115
290	3345	103
291	3354	91
292	3363	80
293	3373	68
294	3384	57
295	3394	45
296	3403	34
297	3413	22
298	3423	11
299	3432	0
