iter	Passed	Remaining
0	7	3911
1	15	3841
2	22	3732
3	29	3684
4	36	3659
5	44	3657
6	52	3668
7	60	3692
8	68	3716
9	76	3765
10	87	3895
11	95	3900
12	103	3885
13	111	3885
14	119	3861
15	127	3870
16	135	3862
17	144	3857
18	151	3847
19	160	3841
20	167	3816
21	174	3789
22	181	3755
23	188	3746
24	209	3985
25	220	4027
26	228	4006
27	235	3972
28	243	3950
29	250	3922
30	257	3894
31	264	3870
32	271	3847
33	278	3819
34	285	3795
35	292	3776
36	300	3760
37	307	3739
38	314	3717
39	322	3708
40	329	3690
41	336	3673
42	344	3657
43	351	3638
44	358	3626
45	366	3615
46	376	3626
47	383	3612
48	390	3594
49	397	3578
50	405	3569
51	413	3566
52	421	3554
53	428	3538
54	435	3523
55	442	3511
56	450	3500
57	457	3486
58	465	3476
59	472	3464
60	479	3449
61	486	3435
62	493	3420
63	500	3408
64	507	3397
65	514	3384
66	522	3377
67	530	3368
68	537	3359
69	545	3349
70	552	3338
71	559	3328
72	568	3322
73	575	3314
74	583	3307
75	590	3295
76	597	3282
77	604	3273
78	612	3264
79	620	3255
80	626	3242
81	633	3231
82	640	3219
83	647	3208
84	655	3198
85	662	3186
86	669	3177
87	676	3168
88	683	3157
89	690	3146
90	697	3136
91	705	3126
92	713	3123
93	722	3119
94	730	3112
95	737	3104
96	745	3096
97	753	3089
98	761	3082
99	769	3077
100	788	3113
101	801	3126
102	809	3121
103	817	3114
104	825	3106
105	833	3097
106	840	3086
107	847	3076
108	854	3065
109	863	3060
110	870	3051
111	878	3041
112	885	3031
113	892	3022
114	899	3012
115	906	3001
116	913	2991
117	920	2981
118	927	2970
119	934	2959
120	941	2948
121	948	2940
122	956	2932
123	964	2924
124	972	2917
125	980	2910
126	987	2900
127	995	2892
128	1002	2883
129	1009	2874
130	1016	2864
131	1023	2854
132	1030	2844
133	1037	2834
134	1045	2825
135	1052	2817
136	1060	2811
137	1069	2806
138	1080	2807
139	1092	2810
140	1106	2816
141	1118	2820
142	1128	2817
143	1140	2818
144	1151	2818
145	1164	2823
146	1179	2833
147	1193	2838
148	1207	2844
149	1217	2841
150	1228	2840
151	1239	2837
152	1249	2833
153	1259	2830
154	1269	2825
155	1279	2821
156	1290	2818
157	1299	2813
158	1311	2812
159	1321	2808
160	1332	2805
161	1342	2800
162	1352	2796
163	1363	2793
164	1373	2789
165	1384	2784
166	1415	2822
167	1428	2822
168	1438	2817
169	1448	2811
170	1457	2803
171	1466	2796
172	1476	2791
173	1486	2784
174	1496	2778
175	1507	2774
176	1517	2769
177	1540	2787
178	1550	2780
179	1560	2773
180	1569	2766
181	1581	2763
182	1591	2757
183	1602	2752
184	1612	2746
185	1623	2740
186	1633	2734
187	1644	2728
188	1654	2722
189	1663	2714
190	1673	2707
191	1683	2700
192	1698	2701
193	1709	2696
194	1720	2690
195	1729	2682
196	1739	2675
197	1751	2671
198	1761	2663
199	1771	2656
200	1783	2653
201	1794	2647
202	1804	2640
203	1814	2632
204	1822	2622
205	1833	2616
206	1843	2609
207	1852	2601
208	1862	2593
209	1871	2584
210	1881	2576
211	1890	2567
212	1905	2567
213	1943	2597
214	1953	2589
215	1967	2586
216	1978	2580
217	1989	2573
218	1997	2563
219	2006	2554
220	2018	2548
221	2043	2559
222	2055	2553
223	2064	2543
224	2073	2533
225	2081	2523
226	2090	2514
227	2099	2504
228	2109	2495
229	2133	2504
230	2141	2494
231	2150	2484
232	2159	2475
233	2181	2479
234	2189	2469
235	2199	2460
236	2208	2450
237	2217	2440
238	2228	2433
239	2239	2425
240	2247	2415
241	2255	2405
242	2265	2395
243	2274	2386
244	2283	2376
245	2293	2367
246	2302	2358
247	2311	2349
248	2321	2340
249	2330	2330
250	2340	2321
251	2349	2311
252	2359	2303
253	2367	2293
254	2377	2284
255	2385	2274
256	2395	2265
257	2406	2257
258	2417	2249
259	2427	2240
260	2437	2232
261	2448	2224
262	2456	2214
263	2465	2204
264	2474	2194
265	2484	2185
266	2492	2175
267	2501	2165
268	2510	2156
269	2520	2147
270	2529	2137
271	2538	2127
272	2547	2117
273	2556	2108
274	2565	2099
275	2574	2089
276	2582	2078
277	2591	2069
278	2599	2059
279	2609	2050
280	2618	2040
281	2627	2031
282	2637	2022
283	2661	2024
284	2675	2018
285	2684	2008
286	2693	1998
287	2701	1988
288	2712	1980
289	2722	1971
290	2730	1961
291	2739	1951
292	2748	1941
293	2757	1932
294	2769	1924
295	2782	1917
296	2794	1910
297	2808	1903
298	2820	1896
299	2837	1891
300	2848	1883
301	2857	1873
302	2866	1863
303	2875	1853
304	2883	1843
305	2892	1833
306	2901	1824
307	2909	1814
308	2918	1803
309	2927	1794
310	2936	1784
311	2945	1774
312	2955	1765
313	2963	1755
314	2972	1745
315	2981	1736
316	2990	1726
317	2999	1716
318	3008	1706
319	3018	1697
320	3027	1688
321	3036	1678
322	3047	1669
323	3055	1659
324	3064	1650
325	3072	1640
326	3080	1629
327	3088	1619
328	3096	1609
329	3104	1599
330	3113	1589
331	3121	1579
332	3130	1569
333	3138	1559
334	3146	1549
335	3154	1539
336	3163	1530
337	3171	1520
338	3179	1510
339	3188	1500
340	3195	1490
341	3203	1480
342	3212	1470
343	3220	1460
344	3229	1450
345	3237	1441
346	3246	1431
347	3268	1427
348	3279	1419
349	3288	1409
350	3296	1399
351	3305	1389
352	3314	1380
353	3322	1370
354	3331	1360
355	3338	1350
356	3347	1340
357	3355	1330
358	3363	1320
359	3373	1311
360	3382	1302
361	3391	1292
362	3400	1283
363	3409	1273
364	3418	1264
365	3426	1254
366	3436	1245
367	3445	1236
368	3456	1226
369	3465	1217
370	3476	1208
371	3485	1199
372	3494	1189
373	3502	1180
374	3510	1170
375	3519	1160
376	3529	1151
377	3536	1141
378	3544	1131
379	3552	1121
380	3559	1111
381	3568	1102
382	3576	1092
383	3585	1082
384	3592	1073
385	3600	1063
386	3609	1053
387	3617	1044
388	3625	1034
389	3633	1024
390	3642	1015
391	3651	1005
392	3658	996
393	3667	986
394	3682	978
395	3692	969
396	3701	960
397	3710	950
398	3732	944
399	3761	940
400	3773	931
401	3785	922
402	3796	913
403	3818	907
404	3826	897
405	3835	887
406	3843	878
407	3852	868
408	3860	858
409	3869	849
410	3893	843
411	3907	834
412	3917	825
413	3927	815
414	3939	806
415	3948	797
416	3957	787
417	3967	778
418	3976	768
419	3985	759
420	3994	749
421	4002	739
422	4011	730
423	4021	720
424	4030	711
425	4041	702
426	4049	692
427	4058	682
428	4066	673
429	4076	663
430	4085	654
431	4095	644
432	4105	635
433	4112	625
434	4122	615
435	4131	606
436	4141	597
437	4152	587
438	4161	578
439	4171	568
440	4180	559
441	4189	549
442	4198	540
443	4210	531
444	4220	521
445	4232	512
446	4243	503
447	4251	493
448	4260	483
449	4268	474
450	4276	464
451	4284	455
452	4293	445
453	4302	435
454	4310	426
455	4319	416
456	4327	407
457	4334	397
458	4343	388
459	4352	378
460	4361	368
461	4370	359
462	4379	349
463	4387	340
464	4397	330
465	4405	321
466	4414	311
467	4423	302
468	4431	292
469	4439	283
470	4449	273
471	4469	265
472	4478	255
473	4487	246
474	4497	236
475	4507	227
476	4517	217
477	4543	209
478	4556	199
479	4566	190
480	4574	180
481	4582	171
482	4591	161
483	4599	152
484	4607	142
485	4614	132
486	4623	123
487	4636	114
488	4645	104
489	4653	94
490	4661	85
491	4669	75
492	4677	66
493	4685	56
494	4693	47
495	4701	37
496	4709	28
497	4717	18
498	4727	9
499	4736	0
