iter	MultiClass
0	1.172421653
1	1.017110372
2	0.8980099023
3	0.804317341
4	0.7298686279
5	0.6656178838
6	0.6106894321
7	0.5644470775
8	0.524040605
9	0.487445859
10	0.4566038524
11	0.4314111861
12	0.4071920942
13	0.3848973983
14	0.3658224116
15	0.3488566686
16	0.3338902927
17	0.3198613747
18	0.3073803336
19	0.2959534084
20	0.2841789588
21	0.2741270398
22	0.2643653272
23	0.2562443415
24	0.2490033054
25	0.2421760166
26	0.2349685266
27	0.2296548937
28	0.2244044466
29	0.2196872968
30	0.2153099129
31	0.2106172112
32	0.206515864
33	0.2024004145
34	0.1991844277
35	0.1957205738
36	0.1927132869
37	0.1892048399
38	0.1859426303
39	0.1835973726
40	0.1823658825
41	0.1803057279
42	0.1784636896
43	0.1767671837
44	0.1750702145
45	0.1732472912
46	0.171544347
47	0.1708825045
48	0.1693180531
49	0.1684258042
50	0.1672208921
51	0.1653222554
52	0.1638985001
53	0.1625204472
54	0.1613868329
55	0.1600310675
56	0.1585679352
57	0.1575372418
58	0.156644049
59	0.1557806106
60	0.1548398321
61	0.1535186767
62	0.1524523753
63	0.1518894043
64	0.1514031867
65	0.1504868992
66	0.1497157589
67	0.149425185
68	0.1490308755
69	0.1483107601
70	0.1476225227
71	0.1465595122
72	0.1458428946
73	0.1449429942
74	0.144536102
75	0.1432444564
76	0.1428310386
77	0.1420943161
78	0.1411068853
79	0.1403661227
80	0.1399639617
81	0.1392749201
82	0.1387162811
83	0.1382334138
84	0.1378392064
85	0.1374531267
86	0.1366888422
87	0.136142168
88	0.1357245287
89	0.1348983969
90	0.133905264
91	0.1334807355
92	0.1325568764
93	0.1323083121
94	0.1320318227
95	0.1317750482
96	0.1313888789
97	0.1310569432
98	0.1306623612
99	0.1303622956
100	0.1297732019
101	0.1293641228
102	0.1288715416
103	0.1282415938
104	0.1277585407
105	0.1272988747
106	0.1270010424
107	0.1266441088
108	0.1262153064
109	0.1257347801
110	0.1254726733
111	0.1249553436
112	0.1247819205
113	0.124298788
114	0.1238852342
115	0.1235162826
116	0.1230510818
117	0.1223363691
