iter	Passed	Remaining
0	84	50737
1	171	51240
2	250	49895
3	335	50051
4	415	49441
5	567	56143
6	664	56279
7	748	55367
8	824	54154
9	909	53650
10	988	52933
11	1062	52059
12	1141	51564
13	1215	50860
14	1293	50449
15	1376	50244
16	1457	50000
17	1535	49643
18	1614	49371
19	1691	49054
20	1771	48840
21	1840	48355
22	1922	48223
23	2002	48051
24	2073	47695
25	2147	47406
26	2278	48356
27	2361	48236
28	2435	47947
29	2512	47736
30	2587	47495
31	2676	47506
32	2779	47759
33	2877	47902
34	2939	47444
35	3017	47273
36	3092	47054
37	3156	46678
38	3230	46463
39	3305	46277
40	3381	46106
41	3458	45951
42	3532	45761
43	3607	45586
44	3686	45460
45	3757	45247
46	3839	45174
47	3910	44966
48	3981	44772
49	4046	44512
50	4115	44298
51	4189	44152
52	4260	43968
53	4352	44008
54	4429	43891
55	4502	43737
56	4567	43507
57	4648	43436
58	4721	43294
59	4791	43126
60	4866	43002
61	4938	42854
62	5016	42758
63	5088	42619
64	5169	42550
65	5237	42377
66	5320	42329
67	5396	42223
68	5470	42096
69	5553	42046
70	5627	41925
71	5688	41718
72	5772	41674
73	5848	41571
74	5916	41412
75	5988	41289
76	6070	41231
77	6142	41107
78	6205	40927
79	6269	40748
80	6344	40653
81	6414	40521
82	6499	40484
83	6563	40317
84	6635	40203
85	6700	40047
86	6776	39955
87	6844	39821
88	6920	39732
89	6997	39650
90	7078	39592
91	7151	39489
92	7225	39388
93	7290	39244
94	7359	39124
95	7423	38974
96	7488	38833
97	7559	38723
98	7621	38571
99	7688	38441
100	7755	38317
101	7822	38192
102	7883	38038
103	7947	37904
104	8008	37756
105	8069	37605
106	8119	37409
107	8176	37249
108	8231	37077
109	8291	36934
110	8345	36764
111	8399	36595
112	8447	36405
113	8508	36272
114	8562	36111
115	8613	35937
116	8665	35774
117	8717	35609
118	8773	35461
119	8830	35322
120	8887	35182
121	8941	35034
122	8997	34891
123	9048	34733
124	9098	34572
125	9158	34451
126	9212	34309
127	9267	34172
128	9328	34059
129	9382	33922
130	9435	33781
131	9492	33654
132	9547	33523
133	9601	33390
134	9655	33256
135	9708	33122
136	9761	32989
137	9812	32850
138	9866	32721
139	9924	32609
140	9974	32470
141	10030	32351
142	10088	32239
143	10144	32122
144	10198	32001
145	10251	31878
146	10305	31757
147	10360	31641
148	10407	31502
149	10457	31372
150	10513	31261
151	10568	31150
152	10624	31039
153	10678	30925
154	10735	30821
155	10810	30767
156	10874	30685
157	10934	30587
158	10986	30470
159	11043	30370
160	11097	30260
161	11156	30164
162	11209	30051
163	11266	29952
164	11318	29838
165	11378	29749
166	11435	29650
167	11487	29539
168	11539	29429
169	11596	29331
170	11646	29217
171	11707	29132
172	11759	29025
173	11810	28915
174	11862	28808
175	11911	28696
176	11963	28590
177	12014	28484
178	12063	28372
179	12113	28264
180	12165	28162
181	12214	28052
182	12265	27949
183	12319	27852
184	12370	27750
185	12420	27645
186	12470	27541
187	12519	27437
188	12570	27335
189	12621	27236
190	12676	27145
191	12740	27073
192	12798	26989
193	12847	26885
194	12903	26800
195	12954	26701
196	13004	26602
197	13062	26520
198	13123	26445
199	13176	26353
200	13228	26260
201	13287	26179
202	13340	26090
203	13389	25992
204	13442	25901
205	13494	25809
206	13543	25712
207	13592	25617
208	13648	25532
209	13701	25445
210	13755	25359
211	13806	25268
212	13860	25183
213	13913	25096
214	13961	25000
215	14005	24899
216	14055	24808
217	14105	24717
218	14156	24628
219	14208	24542
220	14260	24456
221	14315	24374
222	14363	24282
223	14414	24195
224	14468	24113
225	14524	24036
226	14579	23956
227	14630	23870
228	14688	23797
229	14743	23718
230	14801	23643
231	14853	23561
232	14927	23513
233	14978	23427
234	15025	23336
235	15074	23249
236	15127	23169
237	15178	23087
238	15243	23025
239	15294	22941
240	15435	22992
241	15483	22905
242	15532	22818
243	15578	22729
244	15623	22638
245	15670	22549
246	15717	22462
247	15767	22379
248	15818	22298
249	15874	22224
250	15939	22163
251	15997	22092
252	16061	22028
253	16117	21955
254	16168	21875
255	16224	21801
256	16275	21722
257	16363	21691
258	16444	21651
259	16535	21623
260	16621	21589
261	16702	21548
262	16776	21496
263	16858	21456
264	16943	21419
265	17034	21389
266	17114	21344
267	17200	21308
268	17308	21298
269	17381	21243
270	17454	21189
271	17527	21136
272	17593	21073
273	17664	21016
274	17730	20954
275	17814	20912
276	17888	20858
277	17953	20795
278	18037	20752
279	18105	20692
280	18172	20629
281	18244	20573
282	18294	20492
283	18345	20413
284	18396	20332
285	18443	20248
286	18502	20178
287	18553	20099
288	18643	20062
289	18738	20030
290	18825	19989
291	18914	19950
292	19007	19916
293	19108	19888
294	19201	19852
295	19287	19808
296	19372	19764
297	19460	19721
298	19545	19675
299	19623	19623
300	19701	19570
301	19780	19518
302	19851	19458
303	19929	19405
304	20009	19353
305	20084	19297
306	20161	19242
307	20249	19197
308	20317	19134
309	20379	19064
310	20433	18988
311	20521	18943
312	20613	18901
313	20705	18858
314	20789	18809
315	20879	18765
316	20963	18715
317	21041	18659
318	21128	18611
319	21213	18561
320	21303	18515
321	21380	18459
322	21448	18393
323	21528	18339
324	21601	18278
325	21679	18221
326	21758	18165
327	21831	18104
328	21902	18041
329	21980	17983
330	22055	17924
331	22119	17855
332	22178	17782
333	22234	17707
334	22284	17627
335	22333	17547
336	22382	17467
337	22458	17408
338	22536	17351
339	22606	17287
340	22692	17235
341	22783	17187
342	22860	17128
343	22940	17071
344	23020	17014
345	23084	16946
346	23159	16885
347	23226	16818
348	23305	16761
349	23379	16699
350	23442	16630
351	23534	16580
352	23612	16522
353	23679	16455
354	23744	16386
355	23813	16321
356	23877	16252
357	23946	16187
358	24021	16126
359	24089	16059
360	24165	15998
361	24228	15929
362	24279	15852
363	24336	15778
364	24389	15702
365	24443	15627
366	24494	15551
367	24554	15480
368	24606	15403
369	24680	15341
370	24745	15273
371	24833	15220
372	24907	15158
373	24988	15100
374	25048	15029
375	25127	14969
376	25201	14907
377	25275	14844
378	25357	14786
379	25434	14725
380	25514	14665
381	25591	14604
382	25657	14536
383	25726	14471
384	25793	14404
385	25875	14345
386	25950	14282
387	26022	14218
388	26101	14157
389	26164	14088
390	26235	14023
391	26297	13954
392	26370	13889
393	26424	13816
394	26497	13752
395	26558	13681
396	26619	13611
397	26702	13552
398	26783	13492
399	26876	13438
400	26950	13374
401	27034	13315
402	27114	13254
403	27204	13198
404	27281	13135
405	27371	13078
406	27456	13019
407	27546	12963
408	27631	12903
409	27711	12841
410	27784	12776
411	27863	12714
412	27951	12655
413	28033	12594
414	28107	12529
415	28189	12468
416	28259	12401
417	28327	12333
418	28406	12271
419	28465	12199
420	28518	12125
421	28565	12048
422	28618	11974
423	28672	11901
424	28817	11865
425	28938	11820
426	29009	11753
427	29089	11690
428	29178	11630
429	29247	11562
430	29336	11503
431	29419	11440
432	29505	11379
433	29595	11319
434	29668	11253
435	29747	11189
436	29852	11135
437	29916	11065
438	29995	11000
439	30051	10927
440	30124	10861
441	30207	10798
442	30275	10729
443	30357	10666
444	30431	10599
445	30510	10534
446	30589	10470
447	30648	10398
448	30703	10325
449	30756	10252
450	30811	10179
451	30866	10106
452	30919	10033
453	30970	9959
454	31021	9886
455	31077	9813
456	31145	9745
457	31233	9683
458	31320	9621
459	31404	9557
460	31510	9501
461	31608	9441
462	31700	9379
463	31780	9315
464	31872	9253
465	31958	9189
466	32034	9123
467	32098	9053
468	32171	8986
469	32239	8917
470	32317	8851
471	32401	8786
472	32476	8719
473	32542	8650
474	32605	8580
475	32678	8512
476	32750	8445
477	32831	8379
478	32891	8308
479	32941	8235
480	32993	8162
481	33045	8089
482	33096	8017
483	33146	7944
484	33195	7871
485	33260	7801
486	33336	7735
487	33398	7665
488	33465	7596
489	33540	7529
490	33618	7463
491	33687	7394
492	33767	7328
493	33834	7260
494	33904	7191
